,title,artist,release,metascore,userscore
8040,Face Off,by Bow Wow & Omarion,"December 11, 2007",67,7.0
8041,Bazooka Tooth,by Aesop Rock,"September 23, 2003",74,7.0
8042,Super Slimey [Mixtape],by Future,"October 20, 2017",66,7.0
8043,Big Grams [EP],by Big Grams,"September 25, 2015",61,7.0
8044,Woptober,by Gucci Mane,"October 14, 2016",69,7.0
8045,Reloaded,by Roc Marciano,"November 13, 2012",83,7.0
8046,Church in These Streets,by Jeezy,"November 13, 2015",69,7.0
8047,Judgement Days,by Ms. Dynamite,"October 3, 2005",59,7.0
8048,Expektoration (Live),by MF Doom,"September 14, 2010",61,7.0
8049,YOUTH,by Tinie Tempah,"April 14, 2017",70,7.0
8050,Heterocetera [EP],by Lotic,"March 3, 2015",84,7.0
8051,Ultraviolet,by Kid Sister,"November 17, 2009",70,7.0
8052,Packs,by Your Old Droog,"March 10, 2017",81,7.0
8053,The  World Is Yours 2,by Rich the Kid,"March 22, 2019",67,7.0
8054,Survival Skills,by KRS-One & Buckshot,"September 15, 2009",67,7.0
8055,Don't Smoke Rock,by Smoke DZA,"December 2, 2016",81,7.0
8056,Ghostface Killahs,by Ghostface Killah,"September 6, 2019",71,7.0
8057,Shady XV,by Eminem,"November 24, 2014",61,6.9
8058,Satellite Flight: The Journey to Mother Moon,by Kid Cudi,"February 25, 2014",60,6.9
8059,The Blueprint 2: The Gift & the Curse,by Jay-Z,"November 12, 2002",64,6.9
8060,CrasH Talk,by ScHoolboy Q,"April 26, 2019",69,6.9
8061,Father Of 4,by Offset,"February 22, 2019",72,6.9
8062,Timbaland Presents Shock Value,by Timbaland,"April 3, 2007",54,6.9
8063,Somethin' 'Bout Kreay,by Kreayshawn,"September 17, 2012",42,6.9
8064,Paperwork,by T.I.,"October 21, 2014",69,6.9
8065,I'm Up [Mixtape],by Young Thug,"February 5, 2016",76,6.9
8066,T.O.S. (Terminate On Sight),by G-Unit,"July 1, 2008",45,6.9
8067,Ambition,by Wale,"November 1, 2011",69,6.9
8068,Stay Trippy,by Juicy J,"August 27, 2013",66,6.9
8069,Still Striving [Mixtape],by A$AP Ferg,"August 25, 2017",65,6.9
8070,Bridging the Gap,by The Black Eyed Peas,"September 26, 2000",74,6.9
8071,Trials & Tribulations,by Ace Hood,"July 16, 2013",69,6.9
8072,Raskit,by Dizzee Rascal,"July 21, 2017",78,6.9
8073,Empire: Original Soundtrack from Season 1,by Empire Cast,"March 10, 2015",61,6.9
8074,MMM [Mixtape],by Puff Daddy,"November 4, 2015",69,6.9
8075,Blade of the Ronin,by Cannibal Ox,"March 3, 2015",71,6.9
8076,Directors of Photography,by Dilated Peoples,"August 12, 2014",75,6.9
8077,Purple Naked Ladies,by The Internet,"January 31, 2012",55,6.9
8078,Mykki,by Mykki Blanco,"September 16, 2016",77,6.9
8079,Beastmode 2 [Mixtape],by Future,"July 6, 2018",77,6.9
8080,Plain Rap,by The Pharcyde,"November 7, 2000",65,6.9
8081,Revenue Retrievin': Day Shift,by E-40,"March 30, 2010",77,6.9
8082,Apocalypse Soon [EP],by Major Lazer,"March 4, 2014",68,6.9
8083,More Life [Mixtape],by Drake,"March 18, 2017",79,6.8
8084,Thank Me Later,by Drake,"June 15, 2010",75,6.8
8085,Mastermind,by Rick Ross,"March 4, 2014",68,6.8
8086,D12 World,by D12,"April 27, 2004",58,6.8
8087,Stay Dangerous,by YG,"August 3, 2018",71,6.8
8088,Fly International Luxurious Art,by Raekwon,"April 28, 2015",63,6.8
8089,The Big Bang,by Busta Rhymes,"June 13, 2006",64,6.8
8090,Black Market,by Rick Ross,"December 4, 2015",61,6.8
8091,Coolaid,by Snoop Dogg,"July 15, 2016",68,6.8
8092,Nothing,by N.E.R.D,"November 2, 2010",62,6.8
8093,True Magic [First Version],by Mos Def,"December 29, 2006",45,6.8
8094,Everything Is Borrowed,by The Streets,"October 7, 2008",63,6.8
8095,Touch Down 2 Cause Hell,by Boosie Badazz,"May 26, 2015",74,6.8
8096,Trap House 3,by Gucci Mane,"May 21, 2013",61,6.8
8097,One of the Best Yet,by Gang Starr,"November 15, 2019",71,6.8
8098,Riot Boi,by Le1f,"November 13, 2015",78,6.8
8099,Genesis,by Domo Genesis,"March 25, 2016",70,6.8
8100,Port of Miami 2,by Rick Ross,"August 9, 2019",67,6.8
8101,Black Radio 2,by Robert Glasper Experiment,"October 29, 2013",71,6.8
8102,"Trinity (Past, Present and Future)",by Slum Village,"August 13, 2002",59,6.8
8103,Brass Knuckles,by Nelly,"September 16, 2008",61,6.8
8104,It Ain't Safe No More,by Busta Rhymes,"November 26, 2002",65,6.8
8105,G.O.A.T. Featuring James T. Smith: The Greatest of All Time,by LL Cool J,"August 22, 2000",73,6.8
8106,The Charm,by Bubba Sparxxx,"April 4, 2006",66,6.8
8107,I Am,by Yo Gotti,"November 19, 2013",64,6.8
8108,Indicud,by Kid Cudi,"April 16, 2013",58,6.7
8109,SremmLife,by Rae Sremmurd,"January 6, 2015",78,6.7
8110,Please Excuse Me for Being AntiSocial,by Roddy Ricch,"December 6, 2019",72,6.7
8111,Ludaversal,by Ludacris,"March 31, 2015",63,6.7
8112,A Better Tomorrow,by Wu-Tang Clan,"December 2, 2014",60,6.7
8113,ERYS,by Jaden,"July 5, 2019",58,6.7
8114,KIRK,by DaBaby,"September 27, 2019",74,6.7
8115,"Maybach Music Group Presents: Self Made, Vol. 2",by Various Artists,"June 26, 2012",70,6.7
8116,Amerikaz Nightmare,by Mobb Deep,"August 10, 2004",63,6.7
8117,The  Roaring 20s,by Rizzle Kicks,"September 2, 2013",67,6.7
8118,Todd Smith,by LL Cool J,"April 11, 2006",51,6.7
8119,MC4 [Mixtape],by French Montana,"November 5, 2016",67,6.7
8120,Insomnia,by Skepta/Chip/Young Adz,"March 27, 2020",82,6.7
8121,Pluto x Baby Pluto,by Future,"November 13, 2020",67,6.7
8122,Neighborhood Watch,by Dilated Peoples,"April 6, 2004",62,6.7
8123,Good News,by Megan Thee Stallion,"November 20, 2020",85,6.6
8124,Shoot For The Stars Aim For The Moon,by Pop Smoke,"July 3, 2020",70,6.6
8125,Neon Icon,by RiFF RAFF,"June 24, 2014",61,6.6
8126,Battle Of The Sexes,by Ludacris,"March 9, 2010",68,6.6
8127,Trilla,by Rick Ross,"March 11, 2008",60,6.6
8128,Jigsaw,by Lady Sovereign,"April 7, 2009",57,6.6
8129,Oaklandazulasylum,by Why?,"June 24, 2003",70,6.6
8130,Everybody,by Logic,"May 5, 2017",65,6.5
8131,VH1 Storytellers,by Kanye West,"January 5, 2010",66,6.5
8132,Drogas Light,by Lupe Fiasco,"February 10, 2017",56,6.5
8133,Oasis,by J Balvin,"June 28, 2019",79,6.5
8134,Good for You,by Aminé,"July 28, 2017",77,6.5
8135,Mac and Devin Go to High School [Original Motion Picture Soundtrack],by Snoop Dogg,"December 13, 2011",68,6.5
8136,The Last Rocket,by Takeoff,"November 2, 2018",82,6.5
8137,Wave(s) [EP],by Mick Jenkins,"August 21, 2015",77,6.5
8138,Tical 0: The Prequel,by Method Man,"May 18, 2004",51,6.5
8139,Libra Scale,by Ne-Yo,"November 22, 2010",73,6.5
8140,USA (United State Of Atlanta),by Ying Yang Twins,"June 28, 2005",76,6.5
8141,Timeless,by Sergio Mendes,"February 14, 2006",60,6.5
8142,Eat Pray Thug,by Heems,"March 10, 2015",76,6.5
8143,Skilled Mechanics,by Tricky,"January 22, 2016",68,6.5
8144,Armed To The Teeth,by Swollen Members,"October 27, 2009",62,6.5
8145,"The Block Brochure: Welcome to the Soil, Pt. 1",by E-40,"March 26, 2012",78,6.5
8146,"The Block Brochure: Welcome to the Soil, Pt. 3",by E-40,"March 26, 2012",76,6.5
8147,Everything Sucks,by Princess Nokia,"February 26, 2020",74,6.5
8148,The  New Classic,by Iggy Azalea,"April 22, 2014",56,6.4
8149,Cherry Bomb,"by Tyler, The Creator","April 14, 2015",69,6.4
8150,Beerbongs & Bentleys,by Post Malone,"April 27, 2018",51,6.4
8151,Kingdom Come,by Jay-Z,"November 21, 2006",67,6.4
8152,Honest,by Future,"April 22, 2014",80,6.4
8153,Future,by Future,"February 17, 2017",67,6.4
8154,So Far Gone [EP],by Drake,"September 15, 2009",76,6.4
8155,Gemini,by Macklemore,"September 22, 2017",63,6.4
8156,Dreams and Nightmares,by Meek Mill,"October 30, 2012",69,6.4
8157,No Mercy,by T.I.,"December 7, 2010",59,6.4
8158,Iconology [EP],by Missy Elliott,"August 23, 2019",73,6.4
8159,Blood In My Eye,by Ja Rule,"November 4, 2003",45,6.4
8160,Rotten Apple,by Lloyd Banks,"October 10, 2006",51,6.4
8161,Doggumentary,by Snoop Dogg,"March 29, 2011",58,6.4
8162,Encore,by DJ Snake,"August 5, 2016",62,6.4
8163,Pain Is Love,by Ja Rule,"October 2, 2001",59,6.4
8164,Snoop Dogg Presents Bible of Love,by Snoop Dogg,"March 16, 2018",54,6.4
8165,Plata o Plomo,by Fat Joe,"February 17, 2017",66,6.4
8166,Revival,by Eminem,"December 15, 2017",50,6.3
8167,Pink Friday: Roman Reloaded,by Nicki Minaj,"April 3, 2012",60,6.3
8168,Barter 6,by Young Thug,"April 16, 2015",72,6.3
8169,What A Time To Be Alive [Mixtape],by Drake & Future,"September 20, 2015",70,6.3
8170,Hall of Fame,by Big Sean,"August 27, 2013",72,6.3
8171,Radioactive,by Yelawolf,"November 21, 2011",62,6.3
8172,SR3MM,by Rae Sremmurd,"May 4, 2018",76,6.3
8173,Rock N Roll Jesus,by Kid Rock,"October 9, 2007",62,6.3
8174,Year Of The Dog... Again,by DMX,"August 1, 2006",60,6.3
8175,Thr33 Ringz,by T-Pain,"November 11, 2008",71,6.3
8176,Jungle Rules,by French Montana,"July 14, 2017",68,6.3
8177,Ferrari Boyz,by Gucci Mane,"August 9, 2011",57,6.3
8178,Brooklyn's Don Diva,by Foxy Brown,"May 13, 2008",47,6.3
8179,Da Realist,by Plies,"December 16, 2008",63,6.3
8180,No More Heroes,by Solillaquists Of Sound,"August 4, 2009",83,6.3
8181,"The Block Brochure: Welcome to the Soil, Pt. 2",by E-40,"March 26, 2012",68,6.3
8182,Reduxer,by Alt-J,"September 28, 2018",66,6.3
8183,The E.N.D.,by The Black Eyed Peas,"June 9, 2009",60,6.2
8184,This Unruly Mess I've Made,by Macklemore & Ryan Lewis,"February 26, 2016",59,6.2
8185,Funeral,by Lil Wayne,"January 31, 2020",62,6.2
8186,Death Race for Love,by Juice WRLD,"March 8, 2019",61,6.2
8187,FEET OF CLAY,by Earl Sweatshirt,"November 1, 2019",79,6.2
8188,Pluto,by Future,"April 17, 2012",68,6.2
8189,Malice N Wonderland,by Snoop Dogg,"December 8, 2009",61,6.2
8190,Mr. Davis,by Gucci Mane,"October 13, 2017",77,6.2
8191,Yung Rich Nation,by Migos,"July 31, 2015",67,6.2
8192,Cocky,by Kid Rock,"November 20, 2001",57,6.2
8193,Living Legend,by Gunplay,"July 31, 2015",68,6.2
8194,Remember Me,by Sage the Gemini,"March 25, 2014",69,6.2
8195,The Bridge: Concept of a Culture,by Grandmaster Flash,"March 3, 2009",50,6.2
8196,EVOL,by Future,"February 6, 2016",68,6.1
8197,Finally Famous,by Big Sean,"June 28, 2011",69,6.1
8198,"Huncho Jack, Jack Huncho",by Huncho Jack,"December 21, 2017",66,6.1
8199,"God Forgives, I Don't",by Rick Ross,"July 31, 2012",70,6.1
8200,The Beautiful & Damned,by G-Eazy,"December 15, 2017",59,6.1
8201,Future Hndrxx Presents: The WIZRD,by Future,"January 18, 2019",70,6.1
8202,Shock Value II,by Timbaland,"December 8, 2009",50,6.1
8203,I'm Gay (I'm Happy),by Lil B,"June 29, 2011",73,6.1
8204,Wins and Losses,by Meek Mill,"July 21, 2017",72,6.1
8205,The Seventh Seal,by Rakim,"November 17, 2009",59,6.1
8206,Slime Language,by Young Thug,"August 17, 2018",68,6.1
8207,WUNNA,by Gunna,"May 22, 2020",67,6.1
8208,AJ Tracey,by AJ Tracey,"February 8, 2019",81,6.1
8209,Definition Of Real,by Plies,"June 10, 2008",59,6.1
8210,Magna Carta Holy Grail,by Jay-Z,"July 4, 2013",60,6.0
8211,Lasers,by Lupe Fiasco,"March 8, 2011",57,6.0
8212,Animal Ambition: An Untamed Desire to Win,by 50 Cent,"June 3, 2014",53,6.0
8213,Bloom,by Machine Gun Kelly,"May 12, 2017",72,6.0
8214,Public Warning,by Lady Sovereign,"October 31, 2006",67,6.0
8215,Translation,by The Black Eyed Peas,"June 19, 2020",63,6.0
8216,VYP: Voice of the Young People,by Lil' Mama,"April 29, 2008",71,6.0
8217,Trap or Die 3,by Jeezy,"October 28, 2016",70,6.0
8218,10,by LL Cool J,"October 15, 2002",60,6.0
8219,Can I Keep This Pen?,by Northern State,"August 28, 2007",67,6.0
8220,Mr. Brown,by Sleepy Brown,"October 3, 2006",59,6.0
8221,Sorry 4 The Wait 2 [Mixtape],by Lil Wayne,"January 20, 2015",60,5.9
8222,SAVE ME [EP],by Future,"June 7, 2019",63,5.9
8223,Rubba Band Business: The Album,by Juicy J,"December 8, 2017",59,5.9
8224,Rolling Papers,by Wiz Khalifa,"March 29, 2011",59,5.8
8225,Blue Slide Park,by Mac Miller,"November 8, 2011",58,5.8
8226,Ten$ion,by Die Antwoord,"February 7, 2012",57,5.8
8227,JACKBOYS [EP],by Travis Scott,"December 27, 2019",63,5.8
8228,Feedback,by Jurassic 5,"July 25, 2006",57,5.8
8229,"Cozy Tapes, Vol. 2: Too Cozy",by A$AP Mob,"August 25, 2017",70,5.8
8230,Universal Mind Control,by Common,"December 9, 2008",53,5.8
8231,Rise of an Empire,by Young Money,"March 11, 2014",55,5.8
8232,Universal Pulse,by 311,"July 19, 2011",57,5.8
8233,Napalm,by Xzibit,"October 9, 2012",66,5.8
8234,Big Bad,by Giggs,"February 22, 2019",82,5.8
8235,End It All,by Beans,"February 15, 2011",68,5.8
8236,Invasion of Privacy,by Cardi B,"April 6, 2018",84,5.7
8237,VIEWS,by Drake,"April 29, 2016",69,5.7
8238,10 Summers,by DJ Mustard,"August 25, 2014",74,5.7
8239,Sorry 4 the Wait,by Lil Wayne,"July 13, 2011",65,5.6
8240,Lace Up,by MGK,"October 9, 2012",69,5.6
8241,My Turn,by Lil Baby,"February 28, 2020",66,5.6
8242,I Changed a Lot,by DJ Khaled,"October 23, 2015",63,5.6
8243,Chemical Warfare,by The Alchemist,"July 7, 2009",83,5.6
8244,No Love Lost,by Joe Budden,"February 5, 2013",57,5.6
8245,Rain In England,by Lil B,"September 21, 2010",40,5.6
8246,Woptober 2,by Gucci Mane,"October 18, 2019",76,5.6
8247,Hannicap Circus,by Bizarre,"June 28, 2005",44,5.5
8248,MEMORIES DON'T DIE,by Tory Lanez,"March 2, 2018",46,5.5
8249,Dying In Stereo,by Northern State,"June 3, 2003",77,5.5
8250,The Return of East Atlanta Santa,by Gucci Mane,"December 16, 2016",70,5.5
8251,Man Plans God Laughs,by Public Enemy,"July 24, 2015",70,5.5
8252,The Massacre,by 50 Cent,"March 3, 2005",66,5.4
8253,Finally Rich,by Chief Keef,"December 18, 2012",62,5.4
8254,Knock Madness,by Hopsin,"November 24, 2013",77,5.4
8255,Issa Album,by 21 Savage,"July 7, 2017",70,5.4
8256,Blacc Hollywood,by Wiz Khalifa,"August 19, 2014",54,5.4
8257,Underground Luxury,by B.o.B,"December 17, 2013",51,5.4
8258,Drip Or Drown 2,by Gunna,"February 22, 2019",76,5.4
8259,Heart Blanche,by Cee Lo Green,"November 13, 2015",57,5.4
8260,5.0,by Nelly,"November 16, 2010",52,5.4
8261,Lil Boat 3,by Lil Yachty,"May 29, 2020",59,5.4
8262,Wu Block,by Wu Block,"November 27, 2012",69,5.4
8263,Lil Boat 2,by Lil Yachty,"March 9, 2018",50,5.3
8264,Press Play,by Diddy,"October 17, 2006",62,5.3
8265,Dedication 4 [Mixtape],by Lil Wayne,"October 23, 2012",60,5.3
8266,Omens,by 3OH!3,"June 18, 2013",55,5.3
8267,Capo,by Jim Jones,"April 5, 2011",72,5.3
8268,Rich Forever,by Rick Ross,"January 6, 2012",70,5.2
8269,The  Art of Hustle,by Yo Gotti,"February 19, 2016",74,5.2
8270,Return Of The Mac,by Prodigy [of Mobb Deep],"March 27, 2007",75,5.2
8271,Jesus Is King,by Kanye West,"October 25, 2019",53,5.1
8272,Double Or Nothing,by Big Sean,"December 8, 2017",54,5.1
8273,Careless World: Rise of the Last King,by Tyga,"February 21, 2012",64,5.1
8274,Khalifa,by Wiz Khalifa,"February 5, 2016",56,5.1
8275,Songs About Girls,by will.i.am,"September 25, 2007",60,5.1
8276,The Spirit Of Apollo,by N.A.S.A.,"February 17, 2009",64,5.1
8277,"Triple F Life: Friends, Fans and Family",by Waka Flocka Flame,"June 12, 2012",66,5.1
8278,Crown Royal,by Run-D.M.C.,"February 27, 2001",43,5.1
8279,I Am Not a Human Being,by Lil Wayne,"October 12, 2010",67,5.0
8280,Shwayze,by Shwayze,"August 19, 2008",39,5.0
8281,We Are Young Money,by Young Money,"December 21, 2009",63,5.0
8282,Evil Genius,by Gucci Mane,"December 7, 2018",78,5.0
8283,Drip Harder,by Lil Baby,"October 5, 2018",76,5.0
8284,All City,by Northern State,"August 17, 2004",69,5.0
8285,The Only She Chapters,by Prefuse 73,"April 26, 2011",68,5.0
8286,Tha Carter IV,by Lil Wayne,"August 29, 2011",60,4.9
8287,We The Best Forever,by DJ Khaled,"July 19, 2011",61,4.9
8288,Forget the World,by Afrojack,"May 19, 2014",49,4.9
8289,Tomorrow,by Sean Kingston,"September 22, 2009",62,4.9
8290,Dark Lane Demo Tapes [Mixtape],by Drake,"May 1, 2020",61,4.8
8291,The  Beginning,by The Black Eyed Peas,"November 30, 2010",47,4.8
8292,Full Speed,by Kid Ink,"February 3, 2015",55,4.8
8293,Suffering from Success,by DJ Khaled,"October 22, 2013",56,4.8
8294,Shine,by Wale,"April 28, 2017",65,4.8
8295,Beach House [EP],by Ty Dolla $ign,"January 21, 2014",69,4.8
8296,Lil Durk 2X,by Lil Durk,"July 22, 2016",74,4.8
8297,Sincerely Yours,by Iamsu,"May 13, 2014",59,4.8
8298,7 [EP],by Lil Nas X,"June 21, 2019",57,4.7
8299,We Global,by DJ Khaled,"September 16, 2008",58,4.7
8300,One Monkey Don't Stop No Show,by The Goodie Mob,"June 29, 2004",61,4.7
8301,Sorry for Party Rocking,by LMFAO,"June 21, 2011",47,4.6
8302,Fan of a Fan: The Album,by Chris Brown,"February 24, 2015",46,4.6
8303,The Meth Lab,by Method Man,"August 21, 2015",59,4.6
8304,Gameface,by Master P,"December 18, 2001",40,4.6
8305,Unexpected Victory,by Raekwon,"November 30, 2011",57,4.6
8306,Culture II,by Migos,"January 26, 2018",69,4.5
8307,H.N.I.C. Pt. 2,by Prodigy [of Mobb Deep],"April 22, 2008",75,4.5
8308,The Ascent,by Wiley,"April 1, 2013",61,4.5
8309,"Maybach Music Group Presents: Self Made, Vol. 3",by Various Artists,"September 17, 2013",63,4.5
8310,Fetty Wap,by Fetty Wap,"September 25, 2015",68,4.4
8311,The Outsider,by DJ Shadow,"September 19, 2006",62,4.4
8312,Blame It on Baby,by DaBaby,"April 17, 2020",62,4.4
8313,Climate Change,by Pitbull,"March 17, 2017",64,4.4
8314,Lil B.I.G. Pac [Mixtape],by Kodak Black,"June 10, 2016",64,4.3
8315,Rich Gang,by Rich Gang,"July 23, 2013",47,4.3
8316,Drink More Water 6 [Mixtape],by iLoveMakonnen,"March 18, 2016",65,4.3
8317,Rebelution,by Pitbull,"September 1, 2009",51,4.2
8318,NAV,by NAV,"February 24, 2017",45,4.2
8319,Back On My B.S.,by Busta Rhymes,"May 19, 2009",60,4.2
8320,Planet Pit,by Pitbull,"June 21, 2011",70,4.1
8321,Global Warming,by Pitbull,"November 19, 2012",63,4.1
8322,Excuse My French,by French Montana,"May 21, 2013",54,4.1
8323,R.O.O.T.S,by Flo Rida,"March 31, 2009",62,4.1
8324,And Then Boom,by Iglu & Hartly,"September 22, 2008",42,4.1
8325,Major Without a Deal,by Troy Ave,"June 9, 2015",61,4.1
8326,Curtis,by 50 Cent,"September 11, 2007",58,4.0
8327,Teenage Emotions,by Lil Yachty,"May 26, 2017",63,4.0
8328,rEvolver,by T-Pain,"December 6, 2011",56,4.0
8329,Nuthin' 2 Prove,by Lil Yachty,"October 19, 2018",52,4.0
8330,Authentic,by LL Cool J,"April 30, 2013",46,4.0
8331,Look What You Made Me,by Yung Berg,"August 12, 2008",55,4.0
8332,Scorpion,by Drake,"June 29, 2018",67,3.9
8333,Confessions of a Dangerous Mind,by Logic,"May 10, 2019",65,3.9
8334,New English [Mixtape],by Desiigner,"June 26, 2016",60,3.9
8335,Mail On Sunday,by Flo Rida,"March 18, 2008",54,3.9
8336,The Big Day,by Chance the Rapper,"July 26, 2019",71,3.8
8337,I Am Not a Human Being II,by Lil Wayne,"March 26, 2013",51,3.8
8338,Hotel California,by Tyga,"April 9, 2013",50,3.8
8339,"Only 1 Flo, Pt. 1",by Flo Rida,"November 30, 2010",55,3.7
8340,Grateful,by DJ Khaled,"June 23, 2017",61,3.6
8341,Party Rock,by LMFAO,"July 7, 2009",63,3.5
8342,The  Gold Album: 18th Dynasty,by Tyga,"June 23, 2015",45,3.5
8343,Bad Vibes Forever,by XXXTentacion,"December 6, 2019",55,3.5
8344,Guilt,by Mims,"April 7, 2009",49,3.5
8345,Skins,by XXXTentacion,"December 7, 2018",44,3.4
8346,Rebirth,by Lil Wayne,"February 2, 2010",37,3.3
8347,15 [Mixtape],by Bhad Bhabie,"September 18, 2018",56,3.2
8348,Bad Habits,by NAV,"March 22, 2019",52,3.1
8349,Speedin' Bullet 2 Heaven,by Kid Cudi,"December 18, 2015",44,3.0
8350,The Papercut Chronicles II,by Gym Class Heroes,"November 15, 2011",53,3.0
8351,The Boatlift,by Pitbull,"November 27, 2007",69,2.9
8352,Father Of Asahd,by DJ Khaled,"May 17, 2019",59,2.8
8353,The DeAndre Way,by Soulja Boy Tell Em,"November 30, 2010",53,2.8
8354,Good Intentions,by NAV,"May 8, 2020",54,2.8
8355,Selling My Soul,by Masta Killa,"December 11, 2012",62,2.7
8356,"Quality Control: Control the Streets, Vol. 2",by Quality Control,"August 16, 2019",58,2.7
8357,#willpower,by will.i.am,"April 23, 2013",49,2.6
8358,Total Xanarchy,by Lil Xan,"April 6, 2018",49,2.6
8359,Music Is My Savior,by Mims,"March 27, 2007",64,2.6
8360,Wild Ones,by Flo Rida,"July 3, 2012",54,2.5
8361,Quavo Huncho,by Quavo,"October 12, 2018",60,2.5
8362,The Fifth,by Dizzee Rascal,"September 30, 2013",51,2.5
8363,!,by Trippie Redd,"August 9, 2019",59,2.5
8364,Harverd Dropout,by Lil Pump,"February 22, 2019",46,2.4
8365,Hoodstar,by Chingy,"September 19, 2006",41,2.4
8366,souljaboytellem.Com,by Soulja Boy Tell Em,"October 2, 2007",53,2.4
8367,Hood Billionaire,by Rick Ross,"November 24, 2014",54,2.3
8368,Playing With Fire,by Kevin Federline,"October 31, 2006",15,2.2
8369,BAYTL,by Gucci Mane,"December 13, 2011",39,2.1
8370,DUMMY BOY,by 6ix9ine,"November 27, 2018",38,1.8
8371,iSouljaBoyTellem,by Soulja Boy Tell Em,"December 16, 2008",42,1.5
8372,Map of the Soul: 7,by BTS,"February 21, 2020",82,9.4
8373,SuperGood,by Duckwrth,"August 21, 2020",81,9.3
8374,The Marshall Mathers LP,by Eminem,"May 23, 2000",78,9.0
8375,The Eminem Show,by Eminem,"May 28, 2002",75,9.0
8376,RTJ4,by Run the Jewels,"June 3, 2020",89,8.9
8377,No Pressure,by Logic,"July 24, 2020",78,8.9
8378,"Song Machine, Season One: Strange Timez",by Gorillaz,"October 23, 2020",81,8.9
8379,To Pimp A Butterfly,by Kendrick Lamar,"March 16, 2015",96,8.8
8380,"Good Kid, M.A.A.D City",by Kendrick Lamar,"October 22, 2012",91,8.8
8381,IGOR,"by Tyler, The Creator","May 17, 2019",81,8.8
8382,Madvillainy,by Madvillain,"March 23, 2004",93,8.8
8383,Flower Boy,"by Tyler, The Creator","July 21, 2017",84,8.8
8384,Demon Days,by Gorillaz,"May 24, 2005",82,8.8
8385,RTJ2,by Run the Jewels,"October 27, 2014",89,8.8
8386,Stankonia,by Outkast,"October 31, 2000",95,8.8
8387,Run the Jewels 3,by Run the Jewels,"December 25, 2016",88,8.8
8388,Man On The Moon: The End Of Day,by Kid Cudi,"September 15, 2009",71,8.8
8389,The Money Store,by Death Grips,"April 24, 2012",81,8.8
8390,We Got It From Here...Thank You 4 Your Service,by A Tribe Called Quest,"November 11, 2016",91,8.8
8391,The Cool,by Lupe Fiasco,"December 18, 2007",77,8.8
8392,Illmatic XX [20th Anniversary Edition],by Nas,"April 15, 2014",89,8.8
8393,TA13OO,by Denzel Curry,"September 21, 2018",86,8.8
8394,Food & Liquor,by Lupe Fiasco,"September 19, 2006",83,8.8
8395,Boy In Da Corner,by Dizzee Rascal,"January 20, 2004",92,8.8
8396,Sir Lucious Left Foot: The Son of Chico Dusty,by Big Boi,"July 6, 2010",90,8.8
8397,Care For Me,by Saba,"April 5, 2018",93,8.8
8398,MM..Food,by MF Doom,"November 16, 2004",81,8.8
8399,Rage Against the Machine XX [20th Anniversary Edition],by Rage Against the Machine,"November 27, 2012",87,8.8
8400,Don't Look Down,by Skylar Grey,"July 9, 2013",58,8.8
8401,Grand Champ,by DMX,"September 16, 2003",58,8.8
8402,Hamilton: An American Musical [Original Broadway Cast Recording],by Lin-Manuel Miranda,"October 16, 2015",85,8.8
8403,Telefone [Mixtape],by Noname,"July 31, 2016",84,8.8
8404,OST,by 8 Mile (Eminem),"October 29, 2002",74,8.8
8405,Troubadour,by K'NAAN,"February 24, 2009",74,8.8
8406,Joyful Rebellion,by k-os,"September 21, 2004",75,8.8
8407,Us,by Brother Ali,"September 22, 2009",83,8.8
8408,Sexorcism,by Brooke Candy,"October 25, 2019",55,8.8
8409,The Shining,by J Dilla aka Jay Dee,"August 22, 2006",80,8.8
8410,Shine,by Estelle,"April 29, 2008",73,8.8
8411,Restless,by Xzibit,"December 12, 2000",75,8.8
8412,Yell Fire!,by Michael Franti & Spearhead,"July 25, 2006",64,8.8
8413,The Truth Is Here [EP],by Brother Ali,"March 10, 2009",86,8.8
8414,A Dream Deferred,by Skyzoo,"October 9, 2012",85,8.8
8415,Gutter Tactics,by Dälek,"January 27, 2009",74,8.8
8416,Gas Mask,by The Left,"October 26, 2010",87,8.8
8417,Expansion Team,by Dilated Peoples,"October 23, 2001",71,8.8
8418,8 Million Stories,by Soul Position,"October 7, 2003",82,8.8
8419,Burner,by Odd Nosdam,"June 14, 2005",81,8.8
8420,I Heard It Today,by Mr. Lif,"April 21, 2009",70,8.8
8421,Fish Outta Water,by Chali 2na,"July 7, 2009",70,8.8
8422,DJ-Kicks: DJ Koze,by DJ Koze,"June 15, 2015",81,8.8
8423,Descendants of Cain,by Ka,"May 1, 2020",85,8.8
8424,Atrocity Exhibition,by Danny Brown,"September 27, 2016",85,8.7
8425,Speakerboxxx/The Love Below,by Outkast,"September 23, 2003",91,8.7
8426,Acid Rap,by Chance the Rapper,"April 30, 2013",86,8.7
8427,Gorillaz,by Gorillaz,"June 19, 2001",71,8.7
8428,The Blueprint,by Jay-Z,"September 11, 2001",88,8.7
8429,1991 [EP],by Azealia Banks,"June 12, 2012",84,8.7
8430,The Search,by NF,"July 26, 2019",58,8.7
8431,The Black Album,by Jay-Z,"November 14, 2003",84,8.7
8432,"Nostalgia, Ultra.",by Frank Ocean,"February 18, 2011",83,8.7
8433,All My Heroes Are Cornballs,by JPEGMAFIA,"September 13, 2019",85,8.7
8434,Nellyville,by Nelly,"June 25, 2002",70,8.7
